"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","1312  ","國喬            ","657,000","178,000","479,000","0","0","0","657,000","178,000","479,000",
" ","4104  ","佳醫            ","1,090,000","613,300","476,700","0","0","0","1,090,000","613,300","476,700",
" ","2405  ","輔信            ","1,351,000","877,000","474,000","0","0","0","1,351,000","877,000","474,000",
" ","6166  ","凌華            ","631,000","158,352","472,648","0","0","0","631,000","158,352","472,648",
"*","2454  ","聯發科          ","3,342,350","2,872,225","470,125","0","0","0","3,342,350","2,872,225","470,125",
" ","3661  ","世芯-KY         ","998,800","536,148","462,652","0","0","0","998,800","536,148","462,652",
" ","3003  ","健和興          ","701,000","247,000","454,000","0","0","0","701,000","247,000","454,000",
" ",="00642U","期元大S&P石油   ","539,000","88,000","451,000","0","0","0","539,000","88,000","451,000",
" ","2374  ","佳能            ","599,000","151,000","448,000","0","0","0","599,000","151,000","448,000",
" ","1503  ","士電            ","1,432,194","985,710","446,484","0","0","0","1,432,194","985,710","446,484",
" ","9921  ","巨大            ","1,018,000","581,900","436,100","0","0","0","1,018,000","581,900","436,100",
" ","8213  ","志超            ","610,000","178,000","432,000","0","0","0","610,000","178,000","432,000",
" ","6239  ","力成            ","996,419","573,000","423,419","0","0","0","996,419","573,000","423,419",
" ","2486  ","一詮            ","1,247,000","841,000","406,000","0","0","0","1,247,000","841,000","406,000",
" ","1533  ","車王電          ","1,704,000","1,309,000","395,000","0","0","0","1,704,000","1,309,000","395,000",
" ","2006  ","東和鋼鐵        ","526,000","133,000","393,000","0","0","0","526,000","133,000","393,000",
" ","1603  ","華電            ","816,000","430,000","386,000","0","0","0","816,000","430,000","386,000",
" ","2312  ","金寶            ","1,777,000","1,392,000","385,000","0","0","0","1,777,000","1,392,000","385,000",
" ","6451  ","訊芯-KY         ","657,000","281,000","376,000","0","0","0","657,000","281,000","376,000",
" ","3047  ","訊舟            ","541,000","172,000","369,000","0","0","0","541,000","172,000","369,000",
" ","5469  ","瀚宇博          ","1,851,000","1,494,000","357,000","0","0","0","1,851,000","1,494,000","357,000",
" ",="00929 ","復華台灣科技優息","1,047,100","697,000","350,100","0","0","0","1,047,100","697,000","350,100",
" ","8222  ","寶一            ","2,447,000","2,100,200","346,800","0","0","0","2,447,000","2,100,200","346,800",
" ","1319  ","東陽            ","825,000","481,000","344,000","0","0","0","825,000","481,000","344,000",
